"Chr"	"Start"	"End"	"Peak Score"
"chr14"	46760430	46761430	136
"chr19"	6941471	6942471	178
"chr19"	6951404	6952404	92
"chr19"	6950868	6951868	153
"chr11"	78536295	78537295	168
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr10"	128625685	128626685	224
"chr2"	163054453	163055453	88
"chr2"	163054453	163055453	88
"chr11"	59662105	59663105	104
"chr11"	59662105	59663105	104
"chr1"	132390859	132391859	121
"chr1"	132390859	132391859	121
"chr7"	127745893	127746893	55
"chr7"	127744663	127745663	103
"chr2"	32646541	32647541	59
"chr2"	39007903	39008903	42
"chr9"	114368220	114369220	76
"chr9"	43239159	43240159	141
"chr11"	87126887	87127887	126
"chr6"	28423427	28424427	108
"chr16"	32430610	32431610	88
"chr16"	32430072	32431072	97
"chr17"	35968877	35969877	89
"chr17"	35969586	35970586	71
"chr19"	3912765	3913765	194
"chr19"	3912065	3913065	126
"chr5"	145190705	145191705	164
"chr2"	163749447	163750447	86
"chr4"	135353402	135354402	151
"chr4"	135352183	135353183	88
"chr12"	105962619	105963619	87
"chr5"	21784146	21785146	34
"chr1"	152807668	152808668	52
"chr6"	146633628	146634628	127
"chr15"	76904052	76905052	74
"chr11"	5877352	5878352	187
"chr9"	109832357	109833357	120
"chr11"	116273264	116274264	113
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr15"	10469421	10470421	119
"chr1"	160213080	160214080	42
"chr1"	160211576	160212576	154
"chr1"	160212237	160213237	61
"chr1"	160212744	160213744	94
"chr17"	24736359	24737359	164
"chr5"	125441289	125442289	81
"chr2"	14055278	14056278	111
"chr15"	97705595	97706595	58
"chr15"	97704936	97705936	94
"chr15"	97663559	97664559	106
"chr6"	86523907	86524907	77
"chr6"	86525064	86526064	59
"chr2"	93187862	93188862	132
"chr2"	93187862	93188862	132
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr18"	34750772	34751772	220
"chr18"	34751437	34752437	60
"chr9"	83145881	83146881	70
"chr13"	100651336	100652336	190
"chr16"	20672642	20673642	80
"chr7"	17027305	17028305	57
"chr11"	21572015	21573015	103
"chr13"	81782924	81783924	207
"chr16"	35489972	35490972	82
"chr4"	139192831	139193831	158
"chr4"	139191954	139192954	66
"chr10"	59702459	59703459	210
"chr8"	68276738	68277738	93
"chr11"	120712927	120713927	62
"chr15"	83463686	83464686	83
"chr19"	53600231	53601231	106
"chr18"	35498149	35499149	93
"chr13"	73466969	73467969	118
"chr9"	89704154	89705154	45
"chr15"	83594184	83595184	102
"chr7"	125490744	125491744	217
"chr2"	36230423	36231423	39
"chr7"	143599295	143600295	123
"chr13"	19618930	19619930	63
"chr10"	110745143	110746143	65
"chr19"	6117252	6118252	80
"chr2"	72285658	72286658	147
"chr7"	143069287	143070287	204
"chr19"	8892849	8893849	118
"chr8"	12976726	12977726	56
"chr17"	80224155	80225155	94
"chr17"	80224155	80225155	94
"chr19"	4961917	4962917	228
"chr11"	87107968	87108968	177
"chr11"	6624866	6625866	84
"chr14"	51063176	51064176	203
"chr4"	129513753	129514753	56
"chr4"	129513291	129514291	95
"chr5"	137778450	137779450	111
"chr5"	33274439	33275439	93
"chr5"	33274875	33275875	77
"chr4"	44300653	44301653	210
"chr17"	66101403	66102403	107
"chr17"	66100623	66101623	114
"chr11"	3514101	3515101	92
"chr15"	81744383	81745383	44
"chr15"	81745023	81746023	125
"chr7"	45394714	45395714	120
"chr7"	45395662	45396662	80
"chr17"	46143606	46144606	106
"chr6"	67036518	67037518	93
"chr17"	46751383	46752383	104
"chr17"	46750736	46751736	104
"chr2"	84798735	84799735	102
"chr9"	57261418	57262418	95
"chr9"	57261418	57262418	95
"chr19"	5731104	5732104	141
"chr4"	134396019	134397019	93
"chr5"	88765194	88766194	168
"chr19"	4011940	4012940	237
"chr11"	70525147	70526147	347
"chr2"	32712258	32713258	96
"chr8"	60890360	60891360	62
"chr10"	117223760	117224760	187
"chr10"	117223760	117224760	187
"chr7"	127345250	127346250	118
"chr17"	34952310	34953310	96
"chr19"	38043294	38044294	78
"chr9"	15306292	15307292	129
"chr9"	22411272	22412272	41
"chr8"	70673225	70674225	144
"chr3"	127790128	127791128	70
"chr3"	127790776	127791776	57
"chr1"	191312371	191313371	123
"chr1"	191317388	191318388	73
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr7"	4673734	4674734	49
"chr7"	4684172	4685172	177
"chr7"	30280345	30281345	62
"chr11"	75733160	75734160	135
"chr8"	123442788	123443788	193
"chr10"	95677110	95678110	116
"chr10"	95563275	95564275	109
"chr16"	15862882	15863882	108
"chr16"	15862222	15863222	90
"chr5"	139735622	139736622	48
"chr17"	24707295	24708295	167
"chr1"	120264320	120265320	84
"chr4"	101646938	101647938	103
"chr4"	101646938	101647938	103
"chr2"	122764864	122765864	75
"chr8"	111337367	111338367	120
"chr8"	111337367	111338367	120
"chr18"	38249481	38250481	65
"chr10"	5804773	5805773	113
"chr10"	5803680	5804680	42
"chr2"	153108184	153109184	56
"chr2"	173658916	173659916	142
"chr9"	37254743	37255743	78
"chr7"	38107464	38108464	80
"chr7"	38084905	38085905	81
"chr7"	38106370	38107370	45
"chr15"	84681320	84682320	105
"chr8"	105297552	105298552	154
"chr13"	32338573	32339573	185
"chr2"	155929547	155930547	88
"chr5"	136135578	136136578	205
"chr4"	139130872	139131872	103
"chr4"	139130372	139131372	139
"chr4"	139129878	139130878	111
"chr2"	27515051	27516051	99
"chr2"	27539856	27540856	152
"chr19"	8871061	8872061	216
"chr8"	120667154	120668154	113
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr10"	82859122	82860122	106
"chr10"	82859753	82860753	78
"chr2"	38511477	38512477	138
"chr10"	75517616	75518616	226
"chr19"	55741545	55742545	133
"chr19"	55742393	55743393	61
"chr15"	11398937	11399937	183
"chr15"	11399527	11400527	106
"chr15"	89356295	89357295	109
"chr15"	89355698	89356698	101
"chr11"	97782261	97783261	144
"chr6"	99665803	99666803	112
"chr6"	99655198	99656198	72
"chr6"	99665803	99666803	112
"chr6"	87980674	87981674	80
"chr15"	75641578	75642578	54
"chr15"	75615769	75616769	44
"chr15"	75616467	75617467	63
"chr15"	75641995	75642995	96
"chr4"	105157186	105158186	49
"chr4"	11558522	11559522	146
"chr17"	34981513	34982513	147
"chr17"	34981513	34982513	147
"chr10"	79984803	79985803	88
"chr11"	87987342	87988342	82
"chr11"	87986841	87987841	66
"chr11"	87986186	87987186	133
"chr2"	36048536	36049536	205
"chr7"	100493317	100494317	92
"chr4"	133928863	133929863	52
"chr4"	133966488	133967488	125
"chr19"	53037685	53038685	140
"chr2"	35621580	35622580	44
"chr2"	35661143	35662143	101
"chr7"	27552481	27553481	90
"chr3"	9974149	9975149	42
"chr3"	10012383	10013383	104
"chr6"	124813503	124814503	107
"chr15"	99030113	99031113	130
"chr10"	81523154	81524154	82
"chr10"	81523154	81524154	82
"chr9"	44720814	44721814	140
"chr9"	44734113	44735113	46
"chr9"	20897868	20898868	128
"chr19"	10182762	10183762	110
"chr9"	21160812	21161812	82
"chr15"	3270568	3271568	169
"chr7"	45238126	45239126	72
"chr5"	115118655	115119655	78
"chr4"	136835210	136836210	51
"chr11"	109610569	109611569	138
"chr3"	88552241	88553241	47
"chr2"	143914719	143915719	84
"chr4"	141077411	141078411	191
"chr4"	141077411	141078411	191
"chr11"	95414626	95415626	71
"chr11"	50025915	50026915	63
"chr11"	50025217	50026217	71
"chr11"	119023040	119024040	83
"chr11"	102248637	102249637	148
"chr9"	64281347	64282347	153
"chr9"	64281347	64282347	153
"chr15"	78325809	78326809	54
"chr5"	23711900	23712900	165
"chr3"	102203449	102204449	60
"chr17"	45686107	45687107	206
"chr4"	117886587	117887587	114
"chr4"	109676466	109677466	126
"chr4"	109675823	109676823	127
"chr7"	130546329	130547329	123
"chr8"	88361172	88362172	85
"chr16"	21946618	21947618	86
"chr19"	10041317	10042317	93
"chr4"	45083944	45084944	74
"chr1"	131138380	131139380	54
"chr11"	74770586	74771586	142
"chr9"	107935573	107936573	106
"chr2"	33886629	33887629	106
"chr2"	33886629	33887629	106
"chr2"	33887176	33888176	66
"chr13"	22028541	22029541	130
"chr13"	22034425	22035425	58
"chr13"	22026367	22027367	58
"chr18"	61044918	61045918	53
"chr12"	85110444	85111444	142
"chr12"	85110444	85111444	142
"chr11"	69015920	69016920	101
"chr11"	69011693	69012693	42
"chrX"	94541328	94542328	102
"chr1"	171246273	171247273	126
"chr1"	171247019	171248019	80
"chr16"	20651126	20652126	159
"chr12"	65172603	65173603	104
"chr12"	65171925	65172925	103
"chr5"	122820451	122821451	99
"chr5"	122821104	122822104	100
"chr5"	102069350	102070350	87
"chr1"	186748841	186749841	149
"chr10"	95394610	95395610	79
"chr4"	152177828	152178828	90
"chr4"	152177237	152178237	56
"chr1"	71557092	71558092	117
"chr3"	67463341	67464341	76
"chr4"	45319723	45320723	84
"chr2"	152961939	152962939	164
"chr4"	123139062	123140062	172
"chr13"	32850542	32851542	56
"chr3"	89458882	89459882	147
"chr18"	61707018	61708018	100
"chr18"	61706516	61707516	81
"chr10"	93641175	93642175	33
"chr7"	45570225	45571225	56
"chr9"	50603666	50604666	136
"chr14"	54426247	54427247	89
"chr2"	32287155	32288155	103
"chr11"	106612882	106613882	91
"chr11"	106611691	106612691	84
"chr7"	78782591	78783591	133
"chr6"	83114745	83115745	260
"chr14"	99046333	99047333	92
"chr8"	83715222	83716222	139
"chr13"	69611865	69612865	141
"chr14"	57826166	57827166	119
"chr3"	90433533	90434533	122
"chr11"	102880199	102881199	164
"chr4"	149166816	149167816	108
"chr4"	149165992	149166992	62
"chr19"	7038958	7039958	101
"chr9"	72661511	72662511	83
"chr16"	18088312	18089312	95
"chr6"	29272600	29273600	109
"chr7"	138846065	138847065	111
"chr19"	4614669	4615669	36
"chr19"	4615101	4616101	56
"chr19"	4615101	4616101	56
"chr16"	32419469	32420469	160
"chr4"	86669442	86670442	138
"chr7"	126759452	126760452	121
"chr2"	20967675	20968675	45
"chr17"	29268806	29269806	193
"chr17"	56830154	56831154	78
"chr17"	56830154	56831154	78
"chr11"	78512082	78513082	71
"chr14"	64439784	64440784	143
"chr11"	4986578	4987578	100
"chr16"	32163705	32164705	72
"chr16"	32164563	32165563	102
"chr16"	32163705	32164705	72
"chr1"	91413126	91414126	49
"chr1"	91412545	91413545	148
"chr15"	83554997	83555997	57
"chr15"	83554630	83555630	48
"chr15"	83555437	83556437	65
"chr7"	141474561	141475561	121
"chr2"	129296394	129297394	65
"chr5"	113014740	113015740	76
"chr11"	120098585	120099585	181
"chr3"	59129732	59130732	135
"chr3"	59129732	59130732	135
"chr6"	116673565	116674565	59
"chr10"	93539693	93540693	136
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr16"	91793400	91794400	72
"chr7"	123377697	123378697	128
"chr10"	79908237	79909237	161
"chr4"	134467458	134468458	114
"chr4"	134468805	134469805	100
"chr4"	134468196	134469196	79
"chr6"	118418789	118419789	185
"chr19"	46961180	46962180	81
"chr19"	46961180	46962180	81
"chr8"	123948431	123949431	145
"chr8"	123949241	123950241	144
"chr13"	23423439	23424439	144
"chr8"	111853617	111854617	89
"chr8"	111853171	111854171	31
"chr8"	111853617	111854617	89
"chr8"	110919547	110920547	68
"chr8"	110919547	110920547	68
"chr17"	5492451	5493451	59
"chr17"	5491809	5492809	73
"chr5"	137313697	137314697	75
"chr4"	55650960	55651960	99
"chr4"	55514603	55515603	46
"chr13"	23739793	23740793	66
"chr13"	23739340	23740340	30
"chr1"	71101976	71102976	175
"chr2"	27426144	27427144	100
"chr15"	99874795	99875795	122
"chr17"	35516149	35517149	83
"chr11"	101008589	101009589	106
"chr11"	101009233	101010233	56
"chr8"	70282764	70283764	100
"chr1"	74713074	74714074	36
"chr17"	65771868	65772868	65
"chr18"	66001777	66002777	86
"chr2"	92375165	92376165	118
"chr2"	92374474	92375474	194
"chr5"	45669895	45670895	126
"chr11"	58927874	58928874	151
"chr17"	24850412	24851412	56
"chr6"	38533634	38534634	74
"chr6"	38532886	38533886	74
"chr6"	38534012	38535012	62
"chr5"	135393594	135394594	107
"chr17"	25184202	25185202	100
"chr17"	25183782	25184782	130
"chr10"	45000255	45001255	78
"chr10"	45067041	45068041	103
"chr14"	67714773	67715773	85
"chr4"	55350053	55351053	113
"chr4"	55350053	55351053	113
"chr4"	155760093	155761093	104
"chr6"	83349289	83350289	102
"chr6"	55203049	55204049	189
"chr2"	104711600	104712600	123
"chr11"	4096556	4097556	135
"chr6"	82773574	82774574	100
"chr6"	82772520	82773520	62
"chr7"	97696475	97697475	163
"chr17"	26780743	26781743	183
"chr9"	44112919	44113919	165
"chr11"	3931354	3932354	80
"chr5"	101764479	101765479	94
"chr5"	101765222	101766222	38
"chr7"	4657863	4658863	50
"chr10"	80116470	80117470	66
"chr5"	31220506	31221506	150
"chr5"	31219508	31220508	125
"chr5"	31219993	31220993	27
"chr5"	31219508	31220508	125
"chrX"	37109340	37110340	102
"chr8"	18846054	18847054	84
"chr8"	18845458	18846458	76
"chr12"	113151779	113152779	116
"chr18"	56572901	56573901	137
"chr5"	143112099	143113099	111
"chrX"	152016162	152017162	105
"chr6"	125095909	125096909	43
"chr16"	30599256	30600256	43
"chr1"	184845041	184846041	114
"chr1"	184845665	184846665	97
"chr4"	119195100	119196100	175
"chr2"	32693284	32694284	80
"chr3"	88530741	88531741	49
"chr3"	88531741	88532741	152
"chr3"	88531176	88532176	79
"chrX"	75096637	75097637	95
"chrX"	75095884	75096884	118
"chr13"	75707541	75708541	64
"chr5"	136198189	136199189	157
"chr11"	5097988	5098988	109
"chr10"	111473307	111474307	130
"chr19"	10203598	10204598	193
"chr5"	143314334	143315334	117
"chr3"	84154885	84155885	59
"chr6"	113343344	113344344	80
"chr4"	117550060	117551060	97
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr10"	80398054	80399054	70
"chr10"	80398741	80399741	69
"chr11"	49250890	49251890	39
"chr11"	49250490	49251490	43
"chr6"	55037223	55038223	75
"chr6"	55037960	55038960	101
"chr10"	79533152	79534152	75
"chr2"	120153570	120154570	122
"chr11"	94653324	94654324	186
"chr10"	53596712	53597712	138
"chr10"	53597478	53598478	62
"chr3"	68637444	68638444	43
"chr2"	131159351	131160351	87
"chr2"	131160085	131161085	142
"chr14"	25768134	25769134	86
"chr11"	69070812	69071812	103
"chr11"	69069976	69070976	108
"chr11"	5099354	5100354	66
"chr10"	117792631	117793631	110
"chr10"	117791903	117792903	137
"chr8"	78508329	78509329	110
"chr8"	78508329	78509329	110
"chr8"	78508329	78509329	110
"chr7"	128297549	128298549	142
"chr8"	71396641	71397641	185
"chr5"	105876177	105877177	84
"chr10"	95501091	95502091	164
"chr1"	36068234	36069234	42
"chr7"	56018754	56019754	74
"chr7"	56018754	56019754	74
"chr17"	27027626	27028626	161
"chr3"	127552165	127553165	55
"chr6"	83316894	83317894	141
"chr5"	100038820	100039820	102
"chr5"	100037898	100038898	142
"chr5"	31054766	31055766	81
"chr4"	141060620	141061620	46
"chr4"	141059860	141060860	107
"chr4"	135946294	135947294	172
"chr13"	55592825	55593825	128
"chr1"	75316606	75317606	138
"chr15"	88819327	88820327	98
"chr17"	56040235	56041235	124
"chr2"	156065082	156066082	137
"chr10"	110919225	110920225	75
"chr11"	60877812	60878812	92
"chr11"	60878772	60879772	123
"chr11"	86200253	86201253	35
"chr4"	127022429	127023429	160
"chr3"	138442206	138443206	80
"chr19"	10947964	10948964	86
"chr19"	10948661	10949661	113
"chr6"	51471057	51472057	45
"chr8"	92855094	92856094	77
"chr1"	75142531	75143531	69
"chr9"	106446965	106447965	84
"chr17"	25016380	25017380	39
"chr17"	25015904	25016904	56
"chr10"	77605900	77606900	84
"chr9"	21509518	21510518	97
"chr9"	21510145	21511145	126
"chr9"	22388452	22389452	103
"chr9"	22387435	22388435	47
"chr9"	22388016	22389016	60
"chr4"	48540372	48541372	58
"chr14"	120831707	120832707	34
"chr14"	120910041	120911041	67
"chr2"	103970424	103971424	35
"chrX"	73458251	73459251	56
"chr11"	60810085	60811085	62
"chr11"	60810558	60811558	157
"chr5"	123344011	123345011	87
"chr5"	123317975	123318975	70
"chr5"	123344011	123345011	87
"chr5"	115340321	115341321	118
"chr7"	143783642	143784642	97
"chr4"	116463403	116464403	109
"chr15"	93397500	93398500	122
"chr11"	120491777	120492777	81
"chr19"	6140516	6141516	114
"chr19"	6140516	6141516	114
"chr2"	84826659	84827659	190
"chr11"	120713619	120714619	114
"chr2"	127788628	127789628	160
"chr15"	75920615	75921615	144
"chr9"	98600841	98601841	129
"chr15"	73644817	73645817	121
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr5"	113772588	113773588	75
"chr13"	99353127	99354127	68
"chr13"	99344563	99345563	104
"chr11"	88864491	88865491	54
"chr9"	83833660	83834660	81
"chr9"	83834247	83835247	55
"chr9"	83834247	83835247	55
"chr6"	66535374	66536374	117
"chr10"	100487329	100488329	62
"chr7"	27507307	27508307	105
"chr17"	35051109	35052109	68
"chr1"	161035405	161036405	133
"chr2"	152669689	152670689	96
"chr2"	152669689	152670689	96
"chr11"	98741693	98742693	90
"chr17"	24162933	24163933	127
"chr12"	17544005	17545005	55
"chr12"	17545064	17546064	129
"chr5"	100845708	100846708	77
"chr17"	20944385	20945385	222
"chr2"	174472110	174473110	165
"chr6"	29735440	29736440	67
"chr6"	29718677	29719677	68
"chr5"	137306649	137307649	168
"chr9"	75440717	75441717	79
"chr9"	75441329	75442329	98
"chr8"	69832433	69833433	177
"chr11"	80153662	80154662	87
"chr2"	117249567	117250567	121
"chr8"	4275648	4276648	96
"chr10"	91169806	91170806	147
"chr10"	91187383	91188383	171
"chr10"	91181831	91182831	183
"chr17"	69156589	69157589	65
"chr11"	88999491	89000491	103
"chr11"	88999491	89000491	103
"chr19"	8820423	8821423	115
"chr19"	8819819	8820819	44
"chr8"	83594437	83595437	59
"chr8"	83593494	83594494	158
"chr4"	132535322	132536322	65
"chr4"	132535822	132536822	70
"chr17"	48410007	48411007	57
"chr2"	127791633	127792633	98
"chr3"	69598296	69599296	51
"chr2"	32606859	32607859	92
"chr7"	16993667	16994667	110
"chr1"	179960136	179961136	86
"chr1"	179959508	179960508	44
"chr13"	23562525	23563525	165
"chr13"	45507232	45508232	118
"chr13"	45507232	45508232	118
"chr4"	47474527	47475527	75
"chr12"	69724673	69725673	108
"chr4"	43031185	43032185	99
"chr4"	43030676	43031676	118
"chr11"	101984065	101985065	89
"chr1"	170975528	170976528	41
"chr1"	4856861	4857861	117
"chr1"	4857757	4858757	66
"chr5"	150522239	150523239	156
"chr2"	103073563	103074563	124
"chr17"	35241986	35242986	173
"chr1"	191325913	191326913	108
"chr1"	191325913	191326913	108
"chr19"	46572356	46573356	87
"chr11"	62005383	62006383	66
"chr11"	62076808	62077808	128
"chr1"	170867303	170868303	141
"chr19"	60790566	60791566	81
"chr4"	3938661	3939661	118
"chr4"	3953668	3954668	171
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr5"	137531947	137532947	42
"chr5"	137532440	137533440	82
"chr5"	137532440	137533440	82
"chr11"	53706810	53707810	166
"chr11"	87073337	87074337	91
"chr11"	87073760	87074760	81
"chr11"	87073337	87074337	91
"chr8"	23256869	23257869	131
"chr8"	23256157	23257157	104
"chr13"	64369937	64370937	141
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr1"	128832184	128833184	66
"chr1"	128590190	128591190	40
"chr1"	128590546	128591546	97
"chr15"	89591158	89592158	188
"chr16"	38742405	38743405	60
"chr15"	99725673	99726673	124
"chr5"	122779112	122780112	84
"chr5"	122778371	122779371	51
"chr7"	65693346	65694346	159
"chr7"	65704583	65705583	80
"chr18"	60848084	60849084	158
"chr11"	70668579	70669579	60
"chr11"	70669277	70670277	139
"chr7"	45872839	45873839	115
"chr8"	33928313	33929313	103
"chr8"	33928313	33929313	103
"chr1"	135133119	135134119	68
"chr2"	167014858	167015858	129
"chr14"	56777081	56778081	92
"chr14"	56777081	56778081	92
"chr10"	81384217	81385217	137
"chr6"	137754351	137755351	143
"chr8"	70775969	70776969	85
"chr7"	127614722	127615722	108
"chr8"	94214306	94215306	91
"chr12"	116405678	116406678	118
"chr12"	116405062	116406062	144
"chr11"	102761547	102762547	56
"chr13"	22050859	22051859	105
"chr13"	22049851	22050851	175
"chr7"	99535083	99536083	122
"chr5"	120907241	120908241	61
"chr2"	19371319	19372319	258
"chr5"	114380644	114381644	144
"chr3"	100921395	100922395	164
"chr5"	113770806	113771806	112
"chr5"	113771709	113772709	69
"chr8"	54529273	54530273	127
"chr1"	155557850	155558850	185
"chr1"	155557850	155558850	185
"chr7"	24610531	24611531	109
"chr4"	24496210	24497210	76
"chr4"	24496210	24497210	76
"chr16"	92300992	92301992	186
"chr16"	92300538	92301538	78
"chr2"	69822566	69823566	69
"chr2"	69821809	69822809	69
"chr8"	4324044	4325044	62
"chr7"	29169310	29170310	88
"chr7"	29169723	29170723	80
"chr7"	29169723	29170723	80
"chr11"	86992850	86993850	121
"chr4"	131843240	131844240	197
"chr10"	42501890	42502890	111
"chr10"	42502483	42503483	36
"chr3"	88621732	88622732	64
"chr17"	43016433	43017433	135
"chr17"	23726243	23727243	77
"chr13"	112751656	112752656	66
"chr13"	112800483	112801483	51
"chr6"	88465312	88466312	186
"chr4"	155803220	155804220	85
"chr12"	59066162	59067162	92
"chr14"	55671364	55672364	169
"chr8"	85027038	85028038	101
"chr7"	141171777	141172777	83
"chr7"	141172348	141173348	129
"chr7"	141172348	141173348	129
"chr14"	14119722	14120722	100
"chr14"	14120265	14121265	151
"chr10"	81349750	81350750	143
"chr2"	6322598	6323598	114
"chr2"	6322598	6323598	114
"chr2"	172370848	172371848	123
"chr12"	85219332	85220332	222
"chr18"	36678580	36679580	99
"chr5"	110286192	110287192	53
"chr6"	91515779	91516779	78
"chr6"	91515779	91516779	78
"chr6"	134036087	134037087	29
"chr6"	134035645	134036645	50
"chr6"	133985002	133986002	60
"chr10"	80142149	80143149	75
"chr5"	30913514	30914514	43
"chr7"	79148352	79149352	51
"chr7"	28440758	28441758	53
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr13"	95960766	95961766	131
"chr13"	95960766	95961766	131
"chr10"	121364822	121365822	109
"chr10"	121364822	121365822	109
"chr8"	70234568	70235568	121
"chr10"	78464205	78465205	79
"chr10"	78481827	78482827	57
"chr4"	93334996	93335996	50
"chr9"	123113076	123114076	75
"chr9"	114389825	114390825	88
"chr9"	114390449	114391449	68
"chr1"	165642178	165643178	140
"chr1"	165641467	165642467	139
"chr1"	165633864	165634864	63
"chr4"	134852604	134853604	164
"chr4"	134853262	134854262	139
"chr6"	136827182	136828182	201
"chr17"	27907050	27908050	54
"chr16"	8671375	8672375	73
"chr11"	120795555	120796555	120
"chr9"	108452181	108453181	111
"chr8"	78820016	78821016	198
"chr8"	78820744	78821744	153
"chr8"	78820016	78821016	198
"chr11"	80809895	80810895	46
"chr17"	56626104	56627104	112
"chr13"	55634949	55635949	101
"chr2"	26909849	26910849	65
"chr10"	79681867	79682867	38
"chr10"	79682316	79683316	154
"chr10"	79681114	79682114	69
"chr11"	120437422	120438422	181
"chr11"	120436809	120437809	115
"chr7"	97082010	97083010	127
"chr17"	46646060	46647060	173
"chr13"	115089890	115090890	97
"chr13"	115089890	115090890	97
"chr7"	79742241	79743241	104
"chr1"	153549124	153550124	143
"chr19"	6276577	6277577	84
"chr6"	134928581	134929581	40
"chr6"	134927620	134928620	89
"chr12"	85455320	85456320	64
"chr12"	85473647	85474647	85
"chr12"	85444596	85445596	69
"chr3"	123508502	123509502	122
"chr18"	15062970	15063970	85
"chr18"	15149560	15150560	94
"chr18"	15063755	15064755	70
"chr18"	15195140	15196140	86
"chr18"	15150074	15151074	61
"chr5"	52741608	52742608	130
"chr15"	8710156	8711156	79
"chr8"	3676458	3677458	166
"chr14"	79397531	79398531	213
"chr17"	30611641	30612641	142
"chr11"	60830504	60831504	259
"chr16"	91931038	91932038	158
"chr16"	91917259	91918259	58
"chr16"	91931038	91932038	158
"chr14"	21848216	21849216	66
"chr12"	24830760	24831760	87
"chr19"	3906047	3907047	141
"chr4"	59002898	59003898	86
"chr2"	25054137	25055137	85
"chr7"	80535008	80536008	122
"chr7"	80534257	80535257	113
"chr6"	52158157	52159157	56
"chr3"	104638275	104639275	89
"chr3"	104637737	104638737	67
"chr1"	169530727	169531727	101
"chr1"	169531379	169532379	199
"chr5"	108694018	108695018	62
"chr4"	153957324	153958324	182
"chr18"	68228313	68229313	112
"chr18"	67933530	67934530	105
"chr5"	115299975	115300975	119
"chr16"	48993934	48994934	118
"chr16"	10834498	10835498	85
"chr16"	10834498	10835498	85
"chr5"	140331369	140332369	138
"chr5"	140321140	140322140	132
"chr5"	140321140	140322140	132
"chr2"	11602336	11603336	161
"chr17"	35861232	35862232	86
"chr6"	18848479	18849479	153
"chr13"	60601248	60602248	55
"chr13"	60601919	60602919	103
"chr7"	25005122	25006122	136
"chr7"	25005122	25006122	136
"chr18"	31789117	31790117	50
"chr5"	117286712	117287712	146
"chr14"	14345751	14346751	203
"chr11"	115813061	115814061	105
"chr13"	58274018	58275018	117
"chr13"	46928963	46929963	81
"chr13"	46929898	46930898	63
"chr4"	116075242	116076242	87
"chr7"	126695686	126696686	58
"chrX"	48513363	48514363	144
"chr19"	6061296	6062296	71
"chr7"	44929624	44930624	88
"chr7"	44928635	44929635	106
"chr19"	8735479	8736479	156
"chr7"	30534291	30535291	92
"chr7"	30535006	30536006	92
"chr19"	7482366	7483366	116
"chr3"	59210163	59211163	79
"chr4"	96590680	96591680	63
"chr4"	96591091	96592091	73
"chr1"	74303604	74304604	115
"chrX"	164075470	164076470	69
"chr2"	24949631	24950631	104
"chr5"	138255550	138256550	131
"chr17"	25726629	25727629	94
"chr4"	114999966	115000966	174
"chr4"	114999966	115000966	174
"chr4"	114999170	115000170	113
"chr6"	124662107	124663107	110
"chr15"	33083125	33084125	52
"chr8"	71724934	71725934	54
"chr19"	6399829	6400829	117
"chr2"	119047014	119048014	155
"chr4"	46489144	46490144	111
"chr19"	6057009	6058009	106
"chr13"	3917488	3918488	173
"chr13"	3892666	3893666	259
"chr7"	88430267	88431267	132
"chr7"	88430267	88431267	132
"chr19"	34878610	34879610	169
