"PeakID (cmd=annotatePeaks.pl clp_cd8_H3K4me3.txt mm10 -size -500,500)",Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
clp_H3K4me3_1_peak_407,chr1,86582195,86583195,+,171,NA,promoter-TSS (NM_008801),promoter-TSS (NM_008801),90,NM_008801,18582,Mm.12925,NM_008801,ENSMUSG00000026239,Pde6d,AI841218|PrBP/delta,"phosphodiesterase 6D, cGMP-specific, rod, delta",protein-coding
clp_H3K4me3_1_peak_7221,chr17,71001303,71002303,+,170,NA,"intron (NM_026064, intron 1 of 3)",CpG,730,NM_026064,67268,Mm.489605,NM_026064,ENSMUSG00000024048,Myl12a,2900073G15Rik|AI838292|C80200,"myosin, light chain 12A, regulatory, non-sarcomeric",protein-coding
clp_H3K4me3_1_peak_7475,chr18,31788547,31789547,+,170,NA,promoter-TSS (NM_001357480),promoter-TSS (NM_001357480),-78,NM_027002,69241,Mm.279898,NM_027002,ENSMUSG00000024258,Polr2d,2310002G05Rik|2610028L19Rik|HSRBP4|RBP4,polymerase (RNA) II (DNA directed) polypeptide D,protein-coding
clp_H3K4me3_1_peak_13489,chr6,122874501,122875501,+,170,NA,"intron (NR_156733, intron 1 of 6)",CpG,444,NR_156733,67602,Mm.288114,NM_026267,ENSMUSG00000030327,Necap1,1200016B17Rik|AI747569,NECAP endocytosis associated 1,protein-coding
clp_H3K4me3_1_peak_12307,chr5,110779810,110780810,+,170,NA,"exon (NM_019700, exon 1 of 6)","exon (NM_019700, exon 1 of 6)",286,NM_019700,56361,Mm.23528,NM_019700,ENSMUSG00000029507,Pus1,A730013B20Rik|MPUS1|mPus1p,pseudouridine synthase 1,protein-coding
clp_H3K4me3_1_peak_144,chr1,39367974,39368974,+,170,NA,"intron (NM_053257, intron 2 of 4)",CpG,623,NM_001252218,114641,Mm.379302,NM_053257,ENSMUSG00000073702,Rpl31,Dts,ribosomal protein L31,protein-coding
clp_H3K4me3_1_peak_16375-2,chr9,96719228,96720228,+,170,NA,promoter-TSS (NM_001359960),promoter-TSS (NM_001359960),122,NM_001359959,245007,Mm.485954,NM_175537,ENSMUSG00000040433,Zbtb38,A930014K01Rik|CIBZ,zinc finger and BTB domain containing 38,protein-coding
clp_H3K4me3_1_peak_13170,chr6,72361667,72362667,+,170,NA,"intron (NM_001331167, intron 2 of 5)",CpG,265,NM_001331169,66510,Mm.170023,NM_025607,ENSMUSG00000055850,Rnf181,1700047F16Rik|2500002L14Rik|6230415N01Rik|C77350,ring finger protein 181,protein-coding
clp_H3K4me3_1_peak_6687,chr17,25773589,25774589,+,170,NA,"intron (NM_026238, intron 1 of 10)","intron (NM_026238, intron 1 of 10)",313,NM_026238,67563,Mm.24201,NM_026238,ENSMUSG00000002280,Ciao3,9030612I22Rik|AI504405|Narfl|PRN,cytosolic iron-sulfur assembly component 3,protein-coding
clp_H3K4me3_1_peak_6632,chr17,23924668,23925668,+,170,NA,Intergenic,Intergenic,7710,NM_001077633,620253,Mm.390964,NM_001077633,ENSMUSG00000057417,Dcpp3,Dcpp-3|EG620253|SPT-3,demilune cell and parotid protein 3,protein-coding
clp_H3K4me3_1_peak_16375,chr9,96719228,96720228,+,170,NA,promoter-TSS (NM_001359960),promoter-TSS (NM_001359960),122,NM_001359959,245007,Mm.485954,NM_175537,ENSMUSG00000040433,Zbtb38,A930014K01Rik|CIBZ,zinc finger and BTB domain containing 38,protein-coding
clp_H3K4me3_1_peak_13445,chr6,119175080,119176080,+,170,NA,"intron (NM_001033379, intron 1 of 8)",CpG,327,NM_001033379,319618,Mm.250197,NM_001033379,ENSMUSG00000041477,Dcp1b,B930050E02Rik,decapping mRNA 1B,protein-coding
clp_H3K4me3_1_peak_7475-2,chr18,31788547,31789547,+,170,NA,promoter-TSS (NM_001357480),promoter-TSS (NM_001357480),-78,NM_027002,69241,Mm.279898,NM_027002,ENSMUSG00000024258,Polr2d,2310002G05Rik|2610028L19Rik|HSRBP4|RBP4,polymerase (RNA) II (DNA directed) polypeptide D,protein-coding
clp_H3K4me3_1_peak_7034,chr17,46247511,46248511,+,169,NA,promoter-TSS (NM_145353),promoter-TSS (NM_145353),34,NM_009085,20016,Mm.3458,NM_009085,ENSMUSG00000067148,Polr1c,40kDa|AA409007|AA959927|AL024089|Polr1e|RPA40|Rpo1-1,polymerase (RNA) I polypeptide C,protein-coding
clp_H3K4me3_1_peak_9723,chr2,180257224,180258224,+,169,NA,TTS (NM_145851),TTS (NM_145851),188,NR_037274,100526556,,NR_037274,ENSMUSG00000092827,Mir3091,mir-3091|mmu-mir-3091,microRNA 3091,ncRNA
clp_H3K4me3_1_peak_10196,chr3,94886193,94887193,+,169,NA,"intron (NM_008945, intron 1 of 6)",CpG,265,NM_008945,19172,Mm.368,NM_008945,ENSMUSG00000005779,Psmb4,Pros-27,"proteasome (prosome, macropain) subunit, beta type 4",protein-coding
clp_H3K4me3_1_peak_14114,chr7,43562163,43563163,+,169,NA,"intron (NM_001008549, intron 1 of 4)","intron (NM_001008549, intron 1 of 4)",293,NM_001008549,210104,Mm.333821,NM_001008549,ENSMUSG00000056592,Zfp658,-,zinc finger protein 658,protein-coding
clp_H3K4me3_1_peak_11623,chr4,150280744,150281744,+,169,NA,promoter-TSS (NM_001085492),promoter-TSS (NM_001085492),-672,NM_001085492,68703,Mm.291274,NM_001085492,ENSMUSG00000039852,Rere,1110033A15Rik|AI414665|ARG|ARP|ATN1L|AW742570|Atr2|DNB1|eye<m03Jus>|eyes3|mKIAA0458,arginine glutamic acid dipeptide (RE) repeats,protein-coding
clp_H3K4me3_1_peak_9302,chr2,126875220,126876220,+,169,NA,"intron (NM_021450, intron 1 of 38)",CpG,541,NM_021450,58800,Mm.244705,NM_021450,ENSMUSG00000027365,Trpm7,2310022G15Rik|4833414K03Rik|5033407O22Rik|CHAK|CHAK1|LTrpC-7|Ltpr7|Ltrpc7|TRPPLIK,"transient receptor potential cation channel, subfamily M, member 7",protein-coding
clp_H3K4me3_1_peak_528,chr1,121567020,121568020,+,169,NA,"intron (NM_025860, intron 1 of 12)","intron (NM_025860, intron 1 of 12)",460,NM_025860,66942,Mm.44219,NM_025860,ENSMUSG00000001674,Ddx18,2310005B10Rik,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,protein-coding
clp_H3K4me3_1_peak_7794,chr18,82691905,82692905,+,169,NA,"intron (NM_177832, intron 1 of 29)",CpG,329,NM_177832,329002,Mm.34438,NM_177832,ENSMUSG00000041258,Zfp236,AI447957|Gm335,zinc finger protein 236,protein-coding
clp_H3K4me3_1_peak_7034-2,chr17,46247511,46248511,+,169,NA,promoter-TSS (NM_145353),promoter-TSS (NM_145353),34,NM_009085,20016,Mm.3458,NM_009085,ENSMUSG00000067148,Polr1c,40kDa|AA409007|AA959927|AL024089|Polr1e|RPA40|Rpo1-1,polymerase (RNA) I polypeptide C,protein-coding
clp_H3K4me3_1_peak_15175,chr8,70139339,70140339,+,169,NA,promoter-TSS (NM_011266),promoter-TSS (NM_011266),340,NR_132131,72368,Mm.644,NM_001145552,ENSMUSG00000002345,Borcs8,2310045N01Rik|Mef2bnb,BLOC-1 related complex subunit 8,protein-coding
clp_H3K4me3_1_peak_14019-2,chr7,30169187,30170187,+,169,NA,promoter-TSS (NM_011980),promoter-TSS (NM_011980),54,NM_001357557,26465,Mm.446516,NM_011980,ENSMUSG00000037029,Zfp146,OZF|Znf146,zinc finger protein 146,protein-coding
clp_H3K4me3_1_peak_12329,chr5,113735549,113736549,+,169,NA,"5' UTR (NM_001010825, exon 1 of 3)","5' UTR (NM_001010825, exon 1 of 3)",267,NM_001010825,231630,Mm.21926,NM_001010825,ENSMUSG00000053334,Ficd,D5Ertd40e|Hype,FIC domain containing,protein-coding
clp_H3K4me3_1_peak_14019,chr7,30169187,30170187,+,169,NA,promoter-TSS (NM_011980),promoter-TSS (NM_011980),54,NM_001357557,26465,Mm.446516,NM_011980,ENSMUSG00000037029,Zfp146,OZF|Znf146,zinc finger protein 146,protein-coding
clp_H3K4me3_1_peak_16106,chr9,57764465,57765465,+,168,NA,"intron (NM_007713, intron 1 of 12)",CpG,895,NM_007713,102414,Mm.25720,NM_007713,ENSMUSG00000032316,Clk3,AI256811,CDC-like kinase 3,protein-coding
clp_H3K4me3_1_peak_14320,chr7,80246102,80247102,+,168,NA,"5' UTR (NM_177765, exon 1 of 15)","5' UTR (NM_177765, exon 1 of 15)",226,NM_177765,269954,Mm.276780,NM_177765,ENSMUSG00000045467,Ttll13,1700111A04Rik|4921538O11|BC024578,"tubulin tyrosine ligase-like family, member 13",protein-coding
clp_H3K4me3_1_peak_16157,chr9,63377334,63378334,+,168,NA,promoter-TSS (NM_001364494),promoter-TSS (NM_001364494),68,NM_001364492,23938,Mm.325746,NM_011840,ENSMUSG00000058444,Map2k5,AI324775|AI428457|MEK5|Mapkk5|Prkmk5,mitogen-activated protein kinase kinase 5,protein-coding
clp_H3K4me3_1_peak_7814-2,chr18,90509617,90510617,+,168,NA,promoter-TSS (NM_198295),promoter-TSS (NM_198295),-37,NM_198295,67988,Mm.268041,NM_198295,ENSMUSG00000024614,Tmx3,6430411B10Rik|A730024F05Rik|AV259382|Txndc10|mKIAA1830,thioredoxin-related transmembrane protein 3,protein-coding
clp_H3K4me3_1_peak_13789,chr7,16221237,16222237,+,168,NA,"5' UTR (NM_001285931, exon 1 of 17)","5' UTR (NM_001285931, exon 1 of 17)",256,NM_001285932,71723,Mm.75259,NM_027883,ENSMUSG00000006019,Dhx34,1200013B07Rik|1810012L18Rik|Ddx34|mKIAA0134,DEAH (Asp-Glu-Ala-His) box polypeptide 34,protein-coding
clp_H3K4me3_1_peak_10861,chr4,52438257,52439257,+,168,NA,promoter-TSS (NM_001301412),promoter-TSS (NM_001301412),207,NR_045175,72648,Mm.391869,NR_045175,ENSMUSG00000085763,Smc2os,2700081L22Rik,"structural maintenance of chromosomes 2, opposite strand",ncRNA
clp_H3K4me3_1_peak_12165,chr5,92309195,92310195,+,168,NA,"intron (NM_172713, intron 1 of 21)",CpG,329,NM_172713,231452,Mm.86564,NM_172713,ENSMUSG00000029415,Sdad1,4931421J16|AA591032|AW538460,SDA1 domain containing 1,protein-coding
clp_H3K4me3_1_peak_9622,chr2,164910881,164911881,+,168,NA,"intron (NM_199027, intron 1 of 27)",CpG,369,NM_199027,329559,Mm.330776,NM_199027,ENSMUSG00000039834,Zfp335,1810045J01Rik|NIF-1|Nif1|Znf335,zinc finger protein 335,protein-coding
clp_H3K4me3_1_peak_8308,chr19,45363546,45364546,+,168,NA,"intron (NM_009771, intron 1 of 13)","intron (NM_009771, intron 1 of 13)",312,NM_001360122,12234,Mm.119717,NM_009771,ENSMUSG00000025217,Btrc,Beta-Trcp1|E3RS-IkappaB|E3RSIkappaB|FWD1|Fbw1a|HOS|SCF b-TRCP|Slimb|b-TrCP|beta-TrCP,beta-transducin repeat containing protein,protein-coding
clp_H3K4me3_1_peak_7814,chr18,90509617,90510617,+,168,NA,promoter-TSS (NM_198295),promoter-TSS (NM_198295),-37,NM_198295,67988,Mm.268041,NM_198295,ENSMUSG00000024614,Tmx3,6430411B10Rik|A730024F05Rik|AV259382|Txndc10|mKIAA1830,thioredoxin-related transmembrane protein 3,protein-coding
clp_H3K4me3_1_peak_2720,chr11,83224436,83225436,+,168,NA,"intron (NR_015519, intron 3 of 3)",RMER17C|LTR|ERVK,1360,NR_015519,100043636,Mm.295569,NR_015519,ENSMUSG00000087107,AI662270,AW496474,expressed sequence AI662270,ncRNA
clp_H3K4me3_1_peak_16157-2,chr9,63377334,63378334,+,168,NA,promoter-TSS (NM_001364494),promoter-TSS (NM_001364494),68,NM_001364492,23938,Mm.325746,NM_011840,ENSMUSG00000058444,Map2k5,AI324775|AI428457|MEK5|Mapkk5|Prkmk5,mitogen-activated protein kinase kinase 5,protein-coding
clp_H3K4me3_1_peak_2083,chr11,20632047,20633047,+,168,NA,"intron (NM_001038625, intron 1 of 1)",CpG,570,NM_001038625,58172,Mm.339676,NM_021372,ENSMUSG00000049800,Sertad2,AB041541|AU021878|Kiaa0127|MNCb-1504|SEI-2|Sei2|TRIP-Br2|mKIAA0127,SERTA domain containing 2,protein-coding
clp_H3K4me3_1_peak_8396,chr19,56548115,56549115,+,168,NA,promoter-TSS (NM_018831),promoter-TSS (NM_018831),354,NM_025811,66866,Mm.46346,NM_025811,ENSMUSG00000025078,Nhlrc2,1200003G01Rik|AI835049|AV002846|AW496455,NHL repeat containing 2,protein-coding
clp_H3K4me3_1_peak_16467,chr9,107580434,107581434,+,167,NA,promoter-TSS (NM_178020),promoter-TSS (NM_178020),265,NM_019750,56441,Mm.10305,NM_019750,ENSMUSG00000079334,Naa80,AI225910|Fus2|Nat6,"N(alpha)-acetyltransferase 80, NatH catalytic subunit",protein-coding
clp_H3K4me3_1_peak_13182,chr6,72616672,72617672,+,167,NA,promoter-TSS (NM_009443),promoter-TSS (NM_009443),-172,NM_009443,22134,Mm.246563,NM_009443,ENSMUSG00000056429,Tgoln1,AU015504|D6Ertd384e|TGN38|TGN38A|Ttgn1,trans-golgi network protein,protein-coding
clp_H3K4me3_1_peak_11254,chr4,125029940,125030940,+,167,NA,"intron (NM_145552, intron 1 of 15)",B1F1|SINE|Alu,426,NM_145552,230737,Mm.90760,NM_145552,ENSMUSG00000028869,Gnl2,BC003262|HUMAUANTIG|Ngp-1,guanine nucleotide binding protein-like 2 (nucleolar),protein-coding
clp_H3K4me3_1_peak_5067,chr14,63859914,63860914,+,167,NA,"5' UTR (NM_028228, exon 1 of 7)","5' UTR (NM_028228, exon 1 of 7)",102,NM_028228,72400,Mm.379214,NM_028228,ENSMUSG00000021958,Pinx1,2210403I16Rik|2610028A01Rik|67-11-3|AU024023|LPTS|LPTS1,"PIN2/TERF1 interacting, telomerase inhibitor 1",protein-coding
clp_H3K4me3_1_peak_5597,chr15,78934777,78935777,+,167,NA,"intron (NM_133800, intron 1 of 5)",CpG,344,NM_133800,97961,Mm.157216,NM_133800,ENSMUSG00000033099,Nol12,C78541|Nop25,nucleolar protein 12,protein-coding
clp_H3K4me3_1_peak_6638,chr17,24220070,24221070,+,167,NA,"exon (NM_028056, exon 2 of 10)","exon (NM_028056, exon 2 of 10)",281,NM_028056,72016,Mm.23881,NM_028056,ENSMUSG00000024118,Tedc2,1600002H07Rik,tubulin epsilon and delta complex 2,protein-coding
clp_H3K4me3_1_peak_59,chr1,20890408,20891408,+,167,NA,promoter-TSS (NR_040492),promoter-TSS (NR_040492),360,NM_028829,74229,Mm.40780,NM_028829,ENSMUSG00000025931,Paqr8,1700019B16Rik|3110001D06Rik,progestin and adipoQ receptor family member VIII,protein-coding
clp_H3K4me3_1_peak_9192-2,chr2,119112290,119113290,+,166,NA,promoter-TSS (NM_011234),promoter-TSS (NM_011234),-24,NR_156017,19361,Mm.330492,NM_011234,ENSMUSG00000027323,Rad51,AV304093|Rad51a|Reca,RAD51 recombinase,protein-coding
clp_H3K4me3_1_peak_15570,chr8,111033674,111034674,+,166,NA,"5' UTR (NM_146217, exon 1 of 21)","5' UTR (NM_146217, exon 1 of 21)",332,NM_146217,234734,Mm.24174,NM_146217,ENSMUSG00000031960,Aars,AI316495|C76919|sti,alanyl-tRNA synthetase,protein-coding
clp_H3K4me3_1_peak_8797,chr2,34825627,34826627,+,166,NA,"intron (NM_001164772, intron 1 of 3)",CpG-8028,108,NM_001164770,30050,Mm.4465,NM_013890,ENSMUSG00000035949,Fbxw2,2700071L08Rik|FBW2|Fwd2|MD6,F-box and WD-40 domain protein 2,protein-coding
clp_H3K4me3_1_peak_1595,chr10,81136310,81137310,+,166,NA,"intron (NM_010731, intron 1 of 2)",CpG,539,NM_010731,16969,Mm.20920,NM_010731,ENSMUSG00000035011,Zbtb7a,9030619K07Rik|9130006G12Rik|AI452336|FBI-1|Lrf|Pokemon|Zbtb7,zinc finger and BTB domain containing 7a,protein-coding
clp_H3K4me3_1_peak_9192,chr2,119112290,119113290,+,166,NA,promoter-TSS (NM_011234),promoter-TSS (NM_011234),-24,NR_156017,19361,Mm.330492,NM_011234,ENSMUSG00000027323,Rad51,AV304093|Rad51a|Reca,RAD51 recombinase,protein-coding
clp_H3K4me3_1_peak_4021,chr13,13590109,13591109,+,166,NA,"intron (NM_010748, intron 1 of 52)",CpG,200,NM_010748,17101,Mm.342337,NM_010748,ENSMUSG00000019726,Lyst,D13Sfk13|beige|bg,lysosomal trafficking regulator,protein-coding
clp_H3K4me3_1_peak_13056,chr6,49262921,49263921,+,166,NA,"intron (NM_001362188, intron 1 of 8)",CpG,631,NM_001362188,101214,Mm.196598,NM_198102,ENSMUSG00000029817,Tra2a,1500010G04Rik|AL022798|G430041M01Rik|mAWMS1,transformer 2 alpha,protein-coding
clp_H3K4me3_1_peak_15216,chr8,70905558,70906558,+,166,NA,promoter-TSS (NM_173013),promoter-TSS (NM_173013),84,NM_173013,270058,Mm.248559,NM_173013,ENSMUSG00000019261,Map1s,6430517J16Rik|Bpy2ip1|Map8|Mtap1s|VCY2IP1,microtubule-associated protein 1S,protein-coding
clp_H3K4me3_1_peak_414,chr1,87326953,87327953,+,166,NA,"intron (NM_146112, intron 1 of 28)",CpG,455,NM_146112,227331,Mm.23065,NM_146112,ENSMUSG00000048000,Gigyf2,2610016F01Rik|A830080H02Rik|AI852361|AW259676|BC006835|Tnrc15|mKIAA0642,GRB10 interacting GYF protein 2,protein-coding
clp_H3K4me3_1_peak_2927,chr11,97766102,97767102,+,166,NA,promoter-TSS (NM_026186),promoter-TSS (NM_026186),11,NM_026186,67480,Mm.33206,NM_026186,ENSMUSG00000018541,Cwc25,1300013D05Rik|AA473636|Ccdc49|R75228,CWC25 spliceosome-associated protein,protein-coding
clp_H3K4me3_1_peak_9429,chr2,145902947,145903947,+,166,NA,"intron (NM_001141965, intron 1 of 5)",CpG,206,NM_026425,67877,Mm.151168,NM_026425,ENSMUSG00000002728,Naa20,1500004D14Rik|2900026I01Rik|AU041458|D2Ertd186e|Nat5,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",protein-coding
clp_H3K4me3_1_peak_13408,chr6,115037085,115038085,+,166,NA,"intron (NM_026894, intron 1 of 7)",CpG,289,NM_026894,68971,Mm.24937,NM_026894,ENSMUSG00000030316,Tamm41,1500001M20Rik|TAM41,TAM41 mitochondrial translocator assembly and maintenance homolog,protein-coding
clp_H3K4me3_1_peak_13956,chr7,28311340,28312340,+,166,NA,"intron (NM_025616, intron 1 of 10)",CpG,206,NM_025616,66525,Mm.167913,NM_025616,ENSMUSG00000003438,Timm50,2810403L02Rik|AU015082|TIM50L,translocase of inner mitochondrial membrane 50,protein-coding
clp_H3K4me3_1_peak_1577,chr10,80741359,80742359,+,166,NA,"intron (NM_007460, intron 1 of 30)",CpG,416,NM_007460,11776,Mm.27082,NM_007460,ENSMUSG00000020198,Ap3d1,AA407035|Ap3d|Bolvr|mBLVR1|mh|mocha,"adaptor-related protein complex 3, delta 1 subunit",protein-coding
clp_H3K4me3_1_peak_954,chr1,182124774,182125774,+,166,NA,"intron (NM_012058, intron 1 of 2)",CpG,537,NM_012058,27058,Mm.273196,NM_012058,ENSMUSG00000026511,Srp9,9kDa,signal recognition particle 9,protein-coding
clp_H3K4me3_1_peak_13091,chr6,52713837,52714837,+,166,NA,"5' UTR (NM_001355596, exon 1 of 18)","5' UTR (NM_001355596, exon 1 of 18)",172,NM_001355596,52440,Mm.389757,NM_025816,ENSMUSG00000004535,Tax1bp1,1200003J11Rik|1700069J21Rik|AA930106|D6Ertd404e|D6Ertd772e|T6bp|TXBP151,Tax1 (human T cell leukemia virus type I) binding protein 1,protein-coding
clp_H3K4me3_1_peak_3905,chr12,110695371,110696371,+,166,NA,"intron (NM_010480, intron 1 of 10)",CpG,524,NM_010480,15519,Mm.1843,NM_010480,ENSMUSG00000021270,Hsp90aa1,86kDa|89kDa|AL024080|AL024147|Hsp86-1|Hsp89|Hsp90|Hspca|hsp4,"heat shock protein 90, alpha (cytosolic), class A member 1",protein-coding
clp_H3K4me3_1_peak_11693,chr4,155831190,155832190,+,166,NA,"5' UTR (NM_025338, exon 1 of 4)","5' UTR (NM_025338, exon 1 of 4)",421,NM_025338,66077,Mm.28999,NM_025338,ENSMUSG00000065990,Aurkaip1,0610033H09Rik|Aip|Akip|MRP-S38,aurora kinase A interacting protein 1,protein-coding
clp_H3K4me3_1_peak_15216-2,chr8,70905558,70906558,+,166,NA,promoter-TSS (NM_173013),promoter-TSS (NM_173013),84,NM_173013,270058,Mm.248559,NM_173013,ENSMUSG00000019261,Map1s,6430517J16Rik|Bpy2ip1|Map8|Mtap1s|VCY2IP1,microtubule-associated protein 1S,protein-coding
clp_H3K4me3_1_peak_954-2,chr1,182124774,182125774,+,166,NA,"intron (NM_012058, intron 1 of 2)",CpG,537,NM_012058,27058,Mm.273196,NM_012058,ENSMUSG00000026511,Srp9,9kDa,signal recognition particle 9,protein-coding
clp_H3K4me3_1_peak_7469,chr18,30272641,30273641,+,165,NA,"intron (NR_151699, intron 1 of 24)",CpG,276,NM_181414,225326,Mm.194127,NM_181414,ENSMUSG00000033628,Pik3c3,5330434F23Rik|Vps34,phosphatidylinositol 3-kinase catalytic subunit type 3,protein-coding
clp_H3K4me3_1_peak_8284,chr19,44106873,44107873,+,165,NA,"exon (NM_007700, exon 1 of 21)","exon (NM_007700, exon 1 of 21)",104,NM_007700,12675,Mm.3996,NM_007700,ENSMUSG00000025199,Chuk,AI256658|Chuk1|Fbx24|Fbxo24|IKBKA|IKK alpha|IKK1|Ikka|NFKBIKA,conserved helix-loop-helix ubiquitous kinase,protein-coding
clp_H3K4me3_1_peak_10763,chr4,41348948,41349948,+,165,NA,"intron (NM_001290454, intron 1 of 5)",CpG,452,NM_023305,67123,Mm.289795,NM_023305,ENSMUSG00000028437,Ubap1,2700092A01Rik|NAG20|UBAP-1|Ubap,ubiquitin-associated protein 1,protein-coding
clp_H3K4me3_1_peak_2942,chr11,98192382,98193382,+,165,NA,promoter-TSS (NM_013634),promoter-TSS (NM_013634),24,NM_013634,19014,Mm.12926,NM_013634,ENSMUSG00000018160,Med1,AI480703|CRSP210|DRIP205|PBP|Pparbp|TRAP220|TRIP-2|l11Jus15,mediator complex subunit 1,protein-coding
clp_H3K4me3_1_peak_9101,chr2,101678276,101679276,+,165,NA,"intron (NM_001303273, intron 1 of 6)","intron (NM_001303273, intron 1 of 6)",356,NM_009424,22034,Mm.292729,NM_009424,ENSMUSG00000027164,Traf6,2310003F17Rik|AI851288|C630032O20Rik,TNF receptor-associated factor 6,protein-coding
clp_H3K4me3_1_peak_11262,chr4,126057952,126058952,+,165,NA,promoter-TSS (NM_001356446),promoter-TSS (NM_001356446),-113,NM_172701,230751,Mm.38907,NM_172701,ENSMUSG00000042616,Oscp1,1810007P19Rik|5730415O04|6030436A01Rik,organic solute carrier partner 1,protein-coding
clp_H3K4me3_1_peak_13952,chr7,28179188,28180188,+,165,NA,promoter-TSS (NM_001271370),promoter-TSS (NM_001271370),205,NM_001037957,13549,Mm.57249,NM_010092,ENSMUSG00000002409,Dyrk1b,Mirk,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b,protein-coding
clp_H3K4me3_1_peak_11262-2,chr4,126057952,126058952,+,165,NA,promoter-TSS (NM_001356446),promoter-TSS (NM_001356446),-113,NM_172701,230751,Mm.38907,NM_172701,ENSMUSG00000042616,Oscp1,1810007P19Rik|5730415O04|6030436A01Rik,organic solute carrier partner 1,protein-coding
clp_H3K4me3_1_peak_13330,chr6,92214135,92215135,+,165,NA,"intron (NM_030081, intron 1 of 11)",CpG,235,NM_030081,78287,Mm.290734,NM_030081,ENSMUSG00000014550,Rbsn,5330426D11Rik|Zfyve20,"rabenosyn, RAB effector",protein-coding
clp_H3K4me3_1_peak_16150,chr9,62980277,62981277,+,165,NA,"intron (NM_019663, intron 1 of 13)",CpG,102,NM_019663,56469,Mm.431253,NM_019663,ENSMUSG00000032405,Pias1,2900068C24Rik|Ddxbp1|GBP,protein inhibitor of activated STAT 1,protein-coding
clp_H3K4me3_1_peak_13465,chr6,120821842,120822842,+,165,NA,"intron (NM_007510, intron 1 of 8)","intron (NM_007510, intron 1 of 8)",356,NM_007510,11973,Mm.29045,NM_007510,ENSMUSG00000019210,Atp6v1e1,2410029D23Rik|Atp6e|Atp6e2|Atp6v1e|D6Ertd385e|Vma4|p31,"ATPase, H+ transporting, lysosomal V1 subunit E1",protein-coding
clp_H3K4me3_1_peak_3292,chr11,119913499,119914499,+,164,NA,"intron (NM_001085498, intron 1 of 7)",CpG,189,NM_001085498,208092,Mm.306673,NM_001085498,ENSMUSG00000025371,Chmp6,2400004G01Rik,charged multivesicular body protein 6,protein-coding
clp_H3K4me3_1_peak_15634-2,chr8,120100900,120101900,+,164,NA,promoter-TSS (NM_133967),promoter-TSS (NM_133967),72,NM_133967,102193,Mm.240076,NM_133967,ENSMUSG00000031823,Zdhhc7,AL024087|Gramp2,"zinc finger, DHHC domain containing 7",protein-coding
clp_H3K4me3_1_peak_9224,chr2,120403216,120404216,+,164,NA,promoter-TSS (NM_172672),promoter-TSS (NM_172672),-180,NM_172672,76051,Mm.38851,NM_172672,ENSMUSG00000062646,Ganc,5830445O15Rik|9330160A12|mFLJ00088,"glucosidase, alpha; neutral C",protein-coding
clp_H3K4me3_1_peak_3381,chr12,4817392,4818392,+,164,NA,"intron (NM_025323, intron 1 of 3)",CpG,284,NM_025323,66055,Mm.102627,NM_025323,ENSMUSG00000037361,Sf3b6,0610009D07Rik|6030419K15Rik|AV001342|Sf3b14,"splicing factor 3B, subunit 6",protein-coding
clp_H3K4me3_1_peak_7480,chr18,32067436,32068436,+,164,NA,"5' UTR (NM_173441, exon 1 of 14)","5' UTR (NM_173441, exon 1 of 14)",202,NM_173441,73473,Mm.66853,NM_173441,ENSMUSG00000024384,Iws1,1700069O15Rik|3000008H23|AL117927|AW214353,"IWS1, SUPT6 interacting protein",protein-coding
clp_H3K4me3_1_peak_6459,chr16,94312504,94313504,+,164,NA,"intron (NM_139145, intron 1 of 10)","intron (NM_139145, intron 1 of 10)",559,NM_139145,110948,Mm.30921,NM_139145,ENSMUSG00000040820,Hlcs,410I21.SP6|D16Jhu34,holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase),protein-coding
clp_H3K4me3_1_peak_128,chr1,37872070,37873070,+,164,NA,"intron (NM_001037918, intron 1 of 1)","intron (NM_001037918, intron 1 of 1)",364,NM_001037918,623661,Mm.138000,NM_001037918,ENSMUSG00000037216,Lipt1,EG623661,lipoyltransferase 1,protein-coding
clp_H3K4me3_1_peak_15634,chr8,120100900,120101900,+,164,NA,promoter-TSS (NM_133967),promoter-TSS (NM_133967),72,NM_133967,102193,Mm.240076,NM_133967,ENSMUSG00000031823,Zdhhc7,AL024087|Gramp2,"zinc finger, DHHC domain containing 7",protein-coding
clp_H3K4me3_1_peak_15471,chr8,104442147,104443147,+,164,NA,"intron (NM_001013380, intron 1 of 12)",CpG-14406,400,NM_001013380,234663,Mm.289583,NM_001013380,ENSMUSG00000035770,Dync1li2,AA409702|C920003I06|Dncli2|Dnclic2|LIC2,"dynein, cytoplasmic 1 light intermediate chain 2",protein-coding
clp_H3K4me3_1_peak_8405,chr19,57452576,57453576,+,164,NA,"exon (NM_028115, exon 1 of 8)","exon (NM_028115, exon 1 of 8)",170,NM_029839,72133,Mm.258404,NM_028115,ENSMUSG00000025086,Trub1,2610009I02Rik|9030425C13Rik|AI448235|BB118943|C76870,TruB pseudouridine (psi) synthase family member 1,protein-coding
