PeakID (cmd=annotatePeaks.pl clp_nocd8_H3K4me3.txt mm10 -size -500,500)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
clp_H3K4me3_1_peak_818	chr1	169969124	169970124	+	124	NA	promoter-TSS (NM_010476)	promoter-TSS (NM_010476)	215	NR_040438	67303	Mm.396611	NR_040438	ENSMUSG00000097503	3110045C21Rik	AI838577	RIKEN cDNA 3110045C21 gene	ncRNA
clp_H3K4me3_1_peak_209	chr1	54250491	54251491	+	124	NA	intron (NM_030025, intron 1 of 27)	intron (NM_030025, intron 1 of 27)	308	NM_030025	78016	Mm.67455	NM_030025	ENSMUSG00000025983	Ccdc150	4930511H11Rik	coiled-coil domain containing 150	protein-coding
clp_H3K4me3_1_peak_15031	chr8	33384679	33385679	+	124	NA	intron (NM_001122822, intron 1 of 33)	intron (NM_001122822, intron 1 of 33)	348	NM_011721	22427	Mm.228805	NM_011721	ENSMUSG00000031583	Wrn	AI846146	Werner syndrome RecQ like helicase	protein-coding
clp_H3K4me3_1_peak_6401-2	chr16	90220716	90221716	+	124	NA	intron (NM_011434, intron 1 of 4)	CpG	454	NM_011434	20655	Mm.276325	NM_011434	ENSMUSG00000022982	Sod1	B430204E11Rik|Cu/Zn-SOD|CuZnSOD|Ipo-1|Ipo1|SODC|Sod-1	superoxide dismutase 1, soluble	protein-coding
clp_H3K4me3_1_peak_6926	chr17	35120506	35121506	+	124	NA	promoter-TSS (NM_001128597)	promoter-TSS (NM_001128597)	286	NM_009975	13001	Mm.378901	NM_009975	ENSMUSG00000024387	Csnk2b	CK II beta	casein kinase 2, beta polypeptide	protein-coding
clp_H3K4me3_1_peak_14166	chr7	45332997	45333997	+	124	NA	intron (NM_175130, intron 1 of 24)	CpG-13108	283	NM_175130	68667	Mm.439890	NM_175130	ENSMUSG00000038260	Trpm4	1110030C19Rik|AW047689|LTRPC4|LTrpC-4|TRPM4B	transient receptor potential cation channel, subfamily M, member 4	protein-coding
clp_H3K4me3_1_peak_13176	chr6	72438836	72439836	+	124	NA	non-coding (NR_046011, exon 1 of 1)	non-coding (NR_046011, exon 1 of 1)	220	NM_001363798	232087	Mm.29815	NM_145569	ENSMUSG00000053907	Mat2a	D630045P18Rik|MAT 2	methionine adenosyltransferase II, alpha	protein-coding
clp_H3K4me3_1_peak_10711	chr4	32615421	32616421	+	124	NA	intron (NM_011997, intron 1 of 10)	intron (NM_011997, intron 1 of 10)	451	NM_011997	26885	Mm.22279	NM_011997	ENSMUSG00000028282	Casp8ap2	D4Ertd659e|FLASH	caspase 8 associated protein 2	protein-coding
clp_H3K4me3_1_peak_7513-2	chr18	34759013	34760013	+	124	NA	promoter-TSS (NR_162793)	promoter-TSS (NR_162793)	-6	NR_162793	114482853		NR_162793		Mir12191	mmu-mir-12191	microRNA mir-12191	ncRNA
clp_H3K4me3_1_peak_9535	chr2	156110485	156111485	+	123	NA	intron (NM_029397, intron 1 of 2)	intron (NM_029397, intron 1 of 2)	980	NM_170590	266692	Mm.27660	NM_170588	ENSMUSG00000074643	Cpne1	1810028N16Rik|mKIAA4108	copine I	protein-coding
clp_H3K4me3_1_peak_13265	chr6	86848886	86849886	+	123	NA	promoter-TSS (NM_001040106)	promoter-TSS (NM_001040106)	54	NR_028298	67170	Mm.119489	NR_028298	ENSMUSG00000100164	2610306M01Rik	-	RIKEN cDNA 2610306M01 gene	ncRNA
clp_H3K4me3_1_peak_5404	chr15	41446606	41447606	+	123	NA	promoter-TSS (NM_001130166)	promoter-TSS (NM_001130166)	-376	NM_001130166	170719	Mm.254267	NM_130885	ENSMUSG00000022307	Oxr1	2210416C20Rik|C7|C7B	oxidation resistance 1	protein-coding
clp_H3K4me3_1_peak_15558	chr8	110217802	110218802	+	123	NA	intron (NM_146215, intron 1 of 1)	intron (NM_146215, intron 1 of 1)	342	NM_146215	234728	Mm.275341	NM_146215	ENSMUSG00000046441	Cmtr2	AU022703|C730036L12Rik|Ftsjd1|MTr2	cap methyltransferase 2	protein-coding
clp_H3K4me3_1_peak_6288	chr16	46009615	46010615	+	123	NA	5' UTR (NM_001134480, exon 1 of 4)	5' UTR (NM_001134480, exon 1 of 4)	298	NM_001134480	433022	Mm.380993	NM_001134480	ENSMUSG00000087141	Plcxd2	AW494639|EG433022	phosphatidylinositol-specific phospholipase C, X domain containing 2	protein-coding
clp_H3K4me3_1_peak_4790	chr14	24490766	24491766	+	123	NA	intron (NM_001360586, intron 1 of 5)	intron (NM_001360586, intron 1 of 5)	513	NM_001360586	20088	Mm.16775	NM_011297	ENSMUSG00000025290	Rps24	-	ribosomal protein S24	protein-coding
clp_H3K4me3_1_peak_1005	chr1	191312371	191313371	+	123	NA	intron (NM_025424, intron 1 of 3)	intron (NM_025424, intron 1 of 3)	5260	NM_025424	66208	Mm.46444	NM_025424	ENSMUSG00000037499	Nenf	1110060M21Rik|SCIRP10|Spuf	neuron derived neurotrophic factor	protein-coding
clp_H3K4me3_1_peak_14956	chr8	19161538	19162538	+	123	NA	Intergenic	Intergenic	4151	NM_153115	78128	Mm.229357	NM_153115	ENSMUSG00000079842	Spag11a	9230111C08Rik|Bin1b|EP2Q|EP2e|Spag11	sperm associated antigen 11A	protein-coding
clp_H3K4me3_1_peak_15225	chr8	71464652	71465652	+	123	NA	intron (NM_053162, intron 1 of 1)	intron (NM_053162, intron 1 of 1)	226	NM_053162	94065	Mm.29489	NM_053162	ENSMUSG00000034880	Mrpl34	0610007O17Rik|D8Bwg1484e	mitochondrial ribosomal protein L34	protein-coding
clp_H3K4me3_1_peak_6169-2	chr16	32002598	32003598	+	123	NA	5' UTR (NM_001357088, exon 1 of 7)	5' UTR (NM_001357088, exon 1 of 7)	189	NM_001357087	320213	Mm.152890	NM_023801	ENSMUSG00000022772	Senp5	6230429P13Rik|A730063F07Rik|AI851888|BB189556|SMT3IP3	SUMO/sentrin specific peptidase 5	protein-coding
clp_H3K4me3_1_peak_8152	chr19	29647437	29648437	+	123	NA	intron (NM_001081213, intron 1 of 14)	CpG	478	NM_001081213	226090	Mm.267131	NM_001081213	ENSMUSG00000046324	Ermp1	D19Ertd410e|D19Wsu12e|Fxna|b2b2633Clo|mKIAA1815	endoplasmic reticulum metallopeptidase 1	protein-coding
clp_H3K4me3_1_peak_878	chr1	172375636	172376636	+	123	NA	promoter-TSS (NM_026234)	promoter-TSS (NM_026234)	-395	NM_026234	67556	Mm.26612	NM_026234	ENSMUSG00000050229	Pigm	4933437L05Rik|AI644422|AV302080|C920011G20Rik	phosphatidylinositol glycan anchor biosynthesis, class M	protein-coding
clp_H3K4me3_1_peak_15948	chr9	42471381	42472381	+	123	NA	intron (NM_173038, intron 1 of 7)	intron (NM_173038, intron 1 of 7)	377	NM_173038	272589	Mm.34483	NM_173038	ENSMUSG00000037287	Tbcel	D330014K23|E130107N23Rik|Lrrc35	tubulin folding cofactor E-like	protein-coding
clp_H3K4me3_1_peak_7089	chr17	47909159	47910159	+	123	NA	intron (NM_028767, intron 1 of 16)	CpG	14973	NM_028767	74123	Mm.240062	NM_028767	ENSMUSG00000023991	Foxp4	1200010K03Rik|2310007G05Rik|mFKHLA	forkhead box P4	protein-coding
clp_H3K4me3_1_peak_5352	chr15	34442240	34443240	+	123	NA	exon (NM_001163485, exon 3 of 5)	exon (NM_001163485, exon 3 of 5)	485	NM_009083	19946	Mm.358632	NM_009083	ENSMUSG00000058600	Rpl30	-	ribosomal protein L30	protein-coding
clp_H3K4me3_1_peak_1928	chr10	128376936	128377936	+	123	NA	intron (NM_172790, intron 1 of 27)	CpG	312	NM_172790	237615	Mm.440177	NM_172790	ENSMUSG00000014498	Ankrd52	6430544C07|G431002C21Rik	ankyrin repeat domain 52	protein-coding
clp_H3K4me3_1_peak_13265-2	chr6	86848886	86849886	+	123	NA	promoter-TSS (NM_001040106)	promoter-TSS (NM_001040106)	54	NR_028298	67170	Mm.119489	NR_028298	ENSMUSG00000100164	2610306M01Rik	-	RIKEN cDNA 2610306M01 gene	ncRNA
clp_H3K4me3_1_peak_1468	chr10	76530650	76531650	+	123	NA	promoter-TSS (NM_146006)	promoter-TSS (NM_146006)	-455	NM_146006	16987	Mm.55075	NM_146006	ENSMUSG00000033105	Lss	2810025N20Rik|D10Ertd116e|Osc	lanosterol synthase	protein-coding
clp_H3K4me3_1_peak_2392	chr11	60878772	60879772	+	123	NA	promoter-TSS (NM_173453)	promoter-TSS (NM_173453)	-234	NM_001168507	216821	Mm.28063	NM_173453	ENSMUSG00000043284	Tmem11	5730466P16Rik|AA409091	transmembrane protein 11	protein-coding
clp_H3K4me3_1_peak_1990	chr11	4593712	4594712	+	123	NA	intron (NM_028860, intron 1 of 17)	CpG	603	NM_028860	74302	Mm.425669	NM_028860	ENSMUSG00000034354	Mtmr3	1700092A20Rik|AI255150|AW557713|FYVE-DSP1|ZFYVE10|mKIAA0371	myotubularin related protein 3	protein-coding
clp_H3K4me3_1_peak_15685	chr8	123253640	123254640	+	123	NA	promoter-TSS (NM_020497)	promoter-TSS (NM_020497)	-55	NM_020497	57247	Mm.379084	NM_020497	ENSMUSG00000001065	Zfp276	AW048709|D8Ertd370e|D8Ertd377e|Znf276	zinc finger protein (C2H2 type) 276	protein-coding
clp_H3K4me3_1_peak_3726	chr12	82469937	82470937	+	123	NA	Intergenic	Intergenic	-146488	NM_001310478	50779	Mm.126176	NM_015812	ENSMUSG00000021219	Rgs6	-	regulator of G-protein signaling 6	protein-coding
clp_H3K4me3_1_peak_13358	chr6	100670351	100671351	+	123	NA	intron (NM_181590, intron 1 of 10)	CpG	306	NM_181590	72171	Mm.256022	NM_181590	ENSMUSG00000035378	Shq1	2810403P18Rik|Grim-1	SHQ1 homolog (S. cerevisiae)	protein-coding
clp_H3K4me3_1_peak_3592	chr12	69296682	69297682	+	123	NA	intron (NM_027117, intron 1 of 12)	CpG	501	NM_027117	69554	Mm.234368	NM_027117	ENSMUSG00000020978	Klhdc2	2310022K15Rik|D12Ertd522e|HCLP-1|LCP	kelch domain containing 2	protein-coding
clp_H3K4me3_1_peak_2511	chr11	69995667	69996667	+	123	NA	promoter-TSS (NM_001291126)	promoter-TSS (NM_001291126)	401	NM_030064	78246	Mm.20805	NM_030064	ENSMUSG00000018572	Phf23	JUNE-1	PHD finger protein 23	protein-coding
clp_H3K4me3_1_peak_8329	chr19	46327997	46328997	+	123	NA	exon (NM_133694, exon 1 of 4)	exon (NM_133694, exon 1 of 4)	313	NM_133694	68431	Mm.19973	NM_133694	ENSMUSG00000025226	Fbxl15	0710008C12Rik|Fbxo37	F-box and leucine-rich repeat protein 15	protein-coding
clp_H3K4me3_1_peak_9444	chr2	150362226	150363226	+	123	NA	promoter-TSS (NM_027017)	promoter-TSS (NM_027017)	39	NM_027017	69277	Mm.272470	NM_027017	ENSMUSG00000063364	3300002I08Rik	2900016H11Rik	RIKEN cDNA 3300002I08 gene	protein-coding
clp_H3K4me3_1_peak_14860	chr7	143599295	143600295	+	123	NA	intron (NM_013742, intron 1 of 22)	intron (NM_013742, intron 1 of 22)	295	NM_013742	27267	Mm.125659	NM_013742	ENSMUSG00000010755	Cars	CA3	cysteinyl-tRNA synthetase	protein-coding
clp_H3K4me3_1_peak_14223	chr7	55841936	55842936	+	123	NA	intron (NM_011370, intron 1 of 30)	CpG	365	NM_001164662	20430	Mm.37249	NM_011370	ENSMUSG00000030447	Cyfip1	E030028J09Rik|P140SRA-1|P140sra1|Shyc|Sra-1|Sra1|l(7)1Rl|l71Rl|l7Rl1|mKIAA0068|pl-1	cytoplasmic FMR1 interacting protein 1	protein-coding
clp_H3K4me3_1_peak_8006	chr19	8802095	8803095	+	123	NA	promoter-TSS (NM_133759)	promoter-TSS (NM_133759)	47	NM_001098237	75291	Mm.23423	NM_133759	ENSMUSG00000071661	Zbtb3	4930563M09Rik	zinc finger and BTB domain containing 3	protein-coding
clp_H3K4me3_1_peak_12394	chr5	115799151	115800151	+	123	NA	Intergenic	Intergenic	-46005	NM_007708	12704	Mm.8321	NM_007708	ENSMUSG00000029516	Cit	C030025P15Rik|CRIK|CRIK-SK|Cit-k	citron	protein-coding
clp_H3K4me3_1_peak_13103	chr6	54972443	54973443	+	123	NA	promoter-TSS (NM_172729)	promoter-TSS (NM_172729)	-331	NM_172729	107607	Mm.28498	NM_172729	ENSMUSG00000038058	Nod1	C230079P11|Card4|F830007N14Rik|Nlrc1	nucleotide-binding oligomerization domain containing 1	protein-coding
clp_H3K4me3_1_peak_9212-2	chr2	119674984	119675984	+	123	NA	intron (NM_030112, intron 1 of 17)	CpG	416	NM_030112	76246	Mm.33437	NM_030112	ENSMUSG00000027304	Rtf1	2900005O08Rik|6530416A09Rik|AI853581|AU043144|AW553985|Gtl7|cbp82	RTF1, Paf1/RNA polymerase II complex component	protein-coding
clp_H3K4me3_1_peak_7764	chr18	77046625	77047625	+	123	NA	intron (NM_001368657, intron 1 of 16)	intron (NM_001368657, intron 1 of 16)	171	NM_027721	71206	Mm.35803	NM_027721	ENSMUSG00000025420	Katnal2	3110023G01Rik|4933439B08Rik	katanin p60 subunit A-like 2	protein-coding
clp_H3K4me3_1_peak_12396	chr5	115844908	115845908	+	123	NA	promoter-TSS (NM_007708)	promoter-TSS (NM_007708)	-248	NM_007708	12704	Mm.8321	NM_007708	ENSMUSG00000029516	Cit	C030025P15Rik|CRIK|CRIK-SK|Cit-k	citron	protein-coding
clp_H3K4me3_1_peak_9127	chr2	104711600	104712600	+	123	NA	promoter-TSS (NM_177190)	promoter-TSS (NM_177190)	62	NM_177190	320554	Mm.249065	NM_177190	ENSMUSG00000027175	Tcp11l1	C130096D04Rik	t-complex 11 like 1	protein-coding
clp_H3K4me3_1_peak_4414	chr13	67194200	67195200	+	123	NA	intron (NM_001048204, intron 1 of 3)	intron (NM_001048204, intron 1 of 3)	194	NM_001048204	218311	Mm.82396	NM_183156	ENSMUSG00000051037	Zfp455	3732412P20Rik|Rslcan-10	zinc finger protein 455	protein-coding
clp_H3K4me3_1_peak_6598	chr17	21733418	21734418	+	123	NA	5' UTR (NM_001164676, exon 1 of 6)	5' UTR (NM_001164676, exon 1 of 6)	194	NM_001164676	381067	Mm.482723	NM_001164676	ENSMUSG00000061544	Zfp229	-	zinc finger protein 229	protein-coding
clp_H3K4me3_1_peak_6531	chr17	8505555	8506555	+	123	NA	Intergenic	Intergenic	-20746	NM_001290707	23984	Mm.87161	NM_011866	ENSMUSG00000023868	Pde10a	-	phosphodiesterase 10A	protein-coding
clp_H3K4me3_1_peak_9613	chr2	164785280	164786280	+	123	NA	promoter-TSS (NM_133924)	promoter-TSS (NM_133924)	-241	NM_133924	101113	Mm.295647	NM_133924	ENSMUSG00000050373	Snx21	5730407K14Rik|AI481716	sorting nexin family member 21	protein-coding
clp_H3K4me3_1_peak_5790	chr15	95789983	95790983	+	123	NA	promoter-TSS (NM_001253813)	promoter-TSS (NM_001253813)	-360	NM_001253813	105722	Mm.38087	NM_175344	ENSMUSG00000064210	Ano6	2900059G15Rik|AA407480|AW554778|F730003B03Rik|Tmem16f	anoctamin 6	protein-coding
clp_H3K4me3_1_peak_9466	chr2	152343536	152344536	+	123	NA	promoter-TSS (NM_175093)	promoter-TSS (NM_175093)	24	NM_175093	228775	Mm.276018	NM_144554	ENSMUSG00000032715	Trib3	Ifld2|Nipk|SINK|SKIP3|TRB-3|Trb3	tribbles pseudokinase 3	protein-coding
clp_H3K4me3_1_peak_921	chr1	179668120	179669120	+	123	NA	intron (NM_178653, intron 1 of 11)	CpG	389	NM_178653	109232	Mm.136458	NM_178653	ENSMUSG00000038936	Sccpdh	AW214504|C330023F11Rik	saccharopine dehydrogenase (putative)	protein-coding
clp_H3K4me3_1_peak_8615	chr2	26388996	26389996	+	123	NA	promoter-TSS (NM_001085408)	promoter-TSS (NM_001085408)	148	NM_173180	66865	Mm.250359	NM_173180	ENSMUSG00000026926	Pmpca	1200002L24Rik|4933435E07Rik|Alpha-MPP|P-55	peptidase (mitochondrial processing) alpha	protein-coding
clp_H3K4me3_1_peak_7102	chr17	50292127	50293127	+	123	NA	intron (NM_001277863, intron 1 of 9)	intron (NM_001277863, intron 1 of 9)	993	NM_010021	13164	Mm.280641	NM_010021	ENSMUSG00000010592	Dazl	Daz-like|Dazh|Dazl1|Dazla|Tpx-2|Tpx2	deleted in azoospermia-like	protein-coding
clp_H3K4me3_1_peak_6815	chr17	31565057	31566057	+	123	NA	intron (NM_016670, intron 1 of 10)	CpG	784	NM_016670	18771	Mm.259295	NM_016670	ENSMUSG00000006705	Pknox1	D17Wsu76e|PREP1	Pbx/knotted 1 homeobox	protein-coding
clp_H3K4me3_1_peak_6169	chr16	32002598	32003598	+	123	NA	5' UTR (NM_001357088, exon 1 of 7)	5' UTR (NM_001357088, exon 1 of 7)	189	NM_001357087	320213	Mm.152890	NM_023801	ENSMUSG00000022772	Senp5	6230429P13Rik|A730063F07Rik|AI851888|BB189556|SMT3IP3	SUMO/sentrin specific peptidase 5	protein-coding
clp_H3K4me3_1_peak_3795-2	chr12	87266079	87267079	+	123	NA	promoter-TSS (NM_001142580)	promoter-TSS (NM_001142580)	-149	NM_146036	217737	Mm.22626	NM_146036	ENSMUSG00000021037	Ahsa1	BC023857|p38	AHA1, activator of heat shock protein ATPase 1	protein-coding
clp_H3K4me3_1_peak_17037	chrX	150458644	150459644	+	123	NA	promoter-TSS (NR_152725)	promoter-TSS (NR_152725)	6	NR_152725	382245	Mm.277309	NM_001164683	ENSMUSG00000041353	Tmem29	2700081K05Rik|6330540D07Rik|CXorf44-like	transmembrane protein 29	protein-coding
clp_H3K4me3_1_peak_9212	chr2	119674984	119675984	+	123	NA	intron (NM_030112, intron 1 of 17)	CpG	416	NM_030112	76246	Mm.33437	NM_030112	ENSMUSG00000027304	Rtf1	2900005O08Rik|6530416A09Rik|AI853581|AU043144|AW553985|Gtl7|cbp82	RTF1, Paf1/RNA polymerase II complex component	protein-coding
clp_H3K4me3_1_peak_7262	chr17	78735718	78736718	+	123	NA	intron (NM_011500, intron 1 of 17)	G-rich|Low_complexity|Low_complexity	343	NM_011500	268980	Mm.311915	NM_011500	ENSMUSG00000024077	Strn	AU022939|D130055P19	striatin, calmodulin binding protein	protein-coding
clp_H3K4me3_1_peak_8071	chr19	12595441	12596441	+	123	NA	non-coding (NR_015503, exon 1 of 2)	non-coding (NR_015503, exon 1 of 2)	625	NR_015503	74333	Mm.329744	NR_015503	ENSMUSG00000086213	A330040F15Rik	-	RIKEN cDNA A330040F15 gene	ncRNA
clp_H3K4me3_1_peak_9685	chr2	172370848	172371848	+	123	NA	promoter-TSS (NM_001291185)	promoter-TSS (NM_001291185)	345	NM_024199	67337	Mm.26944	NM_024199	ENSMUSG00000027498	Cstf1	1700057K18Rik|AI788832	cleavage stimulation factor, 3' pre-RNA, subunit 1	protein-coding
clp_H3K4me3_1_peak_5415	chr15	44427918	44428918	+	123	NA	promoter-TSS (NM_026149)	promoter-TSS (NM_026149)	-111	NM_001113554	67429	Mm.490404	NM_026149	ENSMUSG00000038736	Nudcd1	4921532K09Rik|AA407246|AW260430|AW556235|CML66-L|Cml66	NudC domain containing 1	protein-coding
clp_H3K4me3_1_peak_13137	chr6	66896565	66897565	+	123	NA	intron (NM_001177558, intron 1 of 4)	intron (NM_001177558, intron 1 of 4)	174	NM_001177558	14701	Mm.234342	NM_025278	ENSMUSG00000036402	Gng12	2010305F15Rik|AA536815|AI115529|AI314170|AI842738	guanine nucleotide binding protein (G protein), gamma 12	protein-coding
clp_H3K4me3_1_peak_3795	chr12	87266079	87267079	+	123	NA	promoter-TSS (NM_001142580)	promoter-TSS (NM_001142580)	-149	NM_146036	217737	Mm.22626	NM_146036	ENSMUSG00000021037	Ahsa1	BC023857|p38	AHA1, activator of heat shock protein ATPase 1	protein-coding
clp_H3K4me3_1_peak_16584	chr9	116174385	116175385	+	123	NA	intron (NM_009371, intron 1 of 7)	CpG	478	NM_029575	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
clp_H3K4me3_1_peak_11297	chr4	128811357	128812357	+	123	NA	Intergenic	Intergenic	-5745	NM_001081098	230761	Mm.22616	NM_001081098	ENSMUSG00000028799	Zfp362	-	zinc finger protein 362	protein-coding
clp_H3K4me3_1_peak_11290	chr4	128609287	128610287	+	123	NA	intron (NM_177758, intron 1 of 7)	intron (NM_177758, intron 1 of 7)	311	NM_177758	269585	Mm.153291	NM_177758	ENSMUSG00000061894	Zscan20	C130001F22|Zfp31|Zkscan20	zinc finger and SCAN domains 20	protein-coding
clp_H3K4me3_1_peak_10599	chr3	152396536	152397536	+	123	NA	intron (NM_001287139, intron 1 of 13)	intron (NM_001287139, intron 1 of 13)	352	NM_001287139	108946	Mm.379292	NM_198416	ENSMUSG00000039068	Zzz3	3110065C23Rik|6430567E01Rik|AA408566|AI481057|AW556059|R75514	zinc finger, ZZ domain containing 3	protein-coding
clp_H3K4me3_1_peak_1236	chr10	39959590	39960590	+	123	NA	promoter-TSS (NR_160808)	promoter-TSS (NR_160808)	63	NR_160808	100041085	Mm.332530	NM_001173500	ENSMUSG00000071335	Mfsd4b3-ps	G630090E17Rik|Mfsd4b3|Naglt1c	major facilitator superfamily domain containing 4B3, pseudogene	pseudo
clp_H3K4me3_1_peak_14223-2	chr7	55841936	55842936	+	123	NA	intron (NM_011370, intron 1 of 30)	CpG	365	NM_001164662	20430	Mm.37249	NM_011370	ENSMUSG00000030447	Cyfip1	E030028J09Rik|P140SRA-1|P140sra1|Shyc|Sra-1|Sra1|l(7)1Rl|l71Rl|l7Rl1|mKIAA0068|pl-1	cytoplasmic FMR1 interacting protein 1	protein-coding
clp_H3K4me3_1_peak_8687	chr2	30124258	30125258	+	123	NA	promoter-TSS (NM_178694)	promoter-TSS (NM_178694)	-147	NM_001290503	227693	Mm.44526	NM_178694	ENSMUSG00000039686	Zer1	C230075L19Rik|Zyg11bl	zyg-11 related, cell cycle regulator	protein-coding
clp_H3K4me3_1_peak_14554	chr7	111081746	111082746	+	123	NA	intron (NM_001040131, intron 1 of 20)	CpG	784	NM_013507	13690	Mm.185453	NM_013507	ENSMUSG00000005610	Eif4g2	DAP-5|E130105L11Rik|Nat1|Natm1|p97	eukaryotic translation initiation factor 4, gamma 2	protein-coding
clp_H3K4me3_1_peak_13595	chr6	134791298	134792298	+	123	NA	promoter-TSS (NR_151454)	promoter-TSS (NR_151454)	-562	NR_151454	105242798	Mm.398227	NR_151454		1700055D16Rik	-	RIKEN cDNA 1700055D16 gene	ncRNA
clp_H3K4me3_1_peak_5236	chr14	118705594	118706594	+	123	NA	exon (NM_001163676, exon 1 of 30)	exon (NM_001163676, exon 1 of 30)	125	NM_001163676	239273	Mm.40537	NM_001033336	ENSMUSG00000032849	Abcc4	ABCC4-N1|D630049P08Rik|MOATB|MRP4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	protein-coding
clp_H3K4me3_1_peak_9167	chr2	115580973	115581973	+	123	NA	promoter-TSS (NM_001145898)	promoter-TSS (NM_001145898)	-243	NM_001145898	399568	Mm.134929	NM_207264	ENSMUSG00000040282	BC052040	-	cDNA sequence BC052040	protein-coding
clp_H3K4me3_1_peak_2155	chr11	30985666	30986666	+	123	NA	exon (NM_026527, exon 1 of 3)	exon (NM_026527, exon 1 of 3)	199	NM_001290667	68044	Mm.32656	NM_026527	ENSMUSG00000020309	Chac2	-	ChaC, cation transport regulator 2	protein-coding
clp_H3K4me3_1_peak_366	chr1	79671160	79672160	+	123	NA	intron (NM_183027, intron 1 of 4)	CpG	312	NM_183027	252903	Mm.32409	NM_183027	ENSMUSG00000054702	Ap1s3	1190009B22|Jr2|[s]3A	adaptor-related protein complex AP-1, sigma 3	protein-coding
clp_H3K4me3_1_peak_11141	chr4	116626072	116627072	+	123	NA	intron (NM_016777, intron 2 of 15)	intron (NM_016777, intron 2 of 15)	925	NM_001284229	50927	Mm.257181	NM_016777	ENSMUSG00000028693	Nasp	5033430J04Rik|AI131596|AI317140|D4Ertd767e|Epcs32|Nasp-T	nuclear autoantigenic sperm protein (histone-binding)	protein-coding
clp_H3K4me3_1_peak_15853	chr9	22084891	22085891	+	123	NA	promoter-TSS (NM_012029)	promoter-TSS (NM_012029)	36	NM_001253898	26940	Mm.425568	NM_012029	ENSMUSG00000066839	Ecsit	Sitpec	ECSIT signalling integrator	protein-coding
clp_H3K4me3_1_peak_6767	chr17	28313307	28314307	+	123	NA	non-coding (NR_028297, exon 1 of 10)	non-coding (NR_028297, exon 1 of 10)	277	NR_028296	72775	Mm.201859	NM_028348	ENSMUSG00000007570	Fance	2810451D06Rik|AI415634|AW209126	Fanconi anemia, complementation group E	protein-coding
clp_H3K4me3_1_peak_12705	chr5	140388518	140389518	+	123	NA	intron (NM_172277, intron 1 of 10)	CpG	290	NM_172277	231834	Mm.27098	NM_172277	ENSMUSG00000029560	Snx8	B130023O14Rik	sorting nexin 8	protein-coding
clp_H3K4me3_1_peak_12706	chr5	140418092	140419092	+	123	NA	promoter-TSS (NM_133916)	promoter-TSS (NM_133916)	-713	NM_133916	27979	Mm.21671	NM_133916	ENSMUSG00000056076	Eif3b	AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1	eukaryotic translation initiation factor 3, subunit B	protein-coding
clp_H3K4me3_1_peak_14831	chr7	141414028	141415028	+	123	NA	promoter-TSS (NM_172116)	promoter-TSS (NM_172116)	-403	NM_172116	213350	Mm.290953	NM_172116	ENSMUSG00000051007	Gatd1	BC023835|D230016J19Rik|Pddc1	glutamine amidotransferase like class 1 domain containing 1	protein-coding
clp_H3K4me3_1_peak_13766	chr7	12921317	12922317	+	123	NA	promoter-TSS (NM_009095)	promoter-TSS (NM_009095)	-494	NM_009095	20103	Mm.5291	NM_009095	ENSMUSG00000012848	Rps5	AA617411	ribosomal protein S5	protein-coding
clp_H3K4me3_1_peak_7618	chr18	50127812	50128812	+	123	NA	5' UTR (NM_008292, exon 1 of 24)	5' UTR (NM_008292, exon 1 of 24)	111	NM_008292	15488	Mm.277857	NM_008292	ENSMUSG00000024507	Hsd17b4	17-beta-HSD|17[b]-HSD|DBP|MFE-2|MFP2|MPF-2|Mfp-2|perMFE-2	hydroxysteroid (17-beta) dehydrogenase 4	protein-coding
clp_H3K4me3_1_peak_16850	chrX	74084719	74085719	+	123	NA	intron (NM_010788, intron 1 of 3)	CpG	471	NM_010788	17257	Mm.131408	NM_010788	ENSMUSG00000031393	Mecp2	1500041B07Rik|D630021H01Rik|Mbd5|WBP10	methyl CpG binding protein 2	protein-coding
clp_H3K4me3_1_peak_16675	chrX	7604647	7605647	+	123	NA	intron (NM_138603, intron 1 of 16)	intron (NM_138603, intron 1 of 16)	273	NM_138603	54638	Mm.288192	NM_138603	ENSMUSG00000031143	Ccdc22	AI481216|DXImx40e|Ppp1r3f|Sfc22	coiled-coil domain containing 22	protein-coding
clp_H3K4me3_1_peak_12967	chr6	35133704	35134704	+	123	NA	promoter-TSS (NM_016877)	promoter-TSS (NM_016877)	-467	NM_001164412	53621	Mm.214525	NM_016877	ENSMUSG00000038784	Cnot4	Not4|Not4h|Not4hp	CCR4-NOT transcription complex, subunit 4	protein-coding
